vung,ds,du_bao
CISO,2026-09-07 01:00:00,37735.350779960805
CISO,2026-09-07 02:00:00,38077.320420914475
CISO,2026-09-07 03:00:00,37202.30951582872
CISO,2026-09-07 04:00:00,36536.08103571603
CISO,2026-09-07 05:00:00,35264.60020102361
CISO,2026-09-07 06:00:00,33896.27727376459
CISO,2026-09-07 07:00:00,32118.367119935276
CISO,2026-09-07 08:00:00,30427.81006376624
CISO,2026-09-07 09:00:00,28875.205756312796
CISO,2026-09-07 10:00:00,27766.631997803495
CISO,2026-09-07 11:00:00,26996.7313185046
CISO,2026-09-07 12:00:00,25806.81151505513
CISO,2026-09-07 13:00:00,26074.35227296388
CISO,2026-09-07 14:00:00,26707.122365942203
CISO,2026-09-07 15:00:00,29501.654504009188
CISO,2026-09-07 16:00:00,34209.30355872884
CISO,2026-09-07 17:00:00,36519.644853731734
CISO,2026-09-07 18:00:00,35986.37834592527
CISO,2026-09-07 19:00:00,35617.25321945981
CISO,2026-09-07 20:00:00,35355.80181035461
CISO,2026-09-07 21:00:00,35592.13810090393
CISO,2026-09-07 22:00:00,35815.50503004105
CISO,2026-09-07 23:00:00,36686.58214332838
CISO,2026-09-08 00:00:00,38058.69732380224
CISO,2026-09-08 01:00:00,38925.52158095043
CISO,2026-09-08 02:00:00,39754.55840479897
CISO,2026-09-08 03:00:00,39758.672857068304
CISO,2026-09-08 04:00:00,39348.62991983196
CISO,2026-09-08 05:00:00,38293.67556716687
CISO,2026-09-08 06:00:00,37279.0292692518
CISO,2026-09-08 07:00:00,34894.71628488801
CISO,2026-09-08 08:00:00,33220.375569726406
CISO,2026-09-08 09:00:00,31665.45261066903
CISO,2026-09-08 10:00:00,30466.098057932366
CISO,2026-09-08 11:00:00,29642.357545996838
CISO,2026-09-08 12:00:00,29348.160336732784
CISO,2026-09-08 13:00:00,29180.183739673103
CISO,2026-09-08 14:00:00,29610.727668979136
CISO,2026-09-08 15:00:00,32411.108168972172
CISO,2026-09-08 16:00:00,36623.73742323115
CISO,2026-09-08 17:00:00,37976.88565459721
CISO,2026-09-08 18:00:00,38248.317439720005
CISO,2026-09-08 19:00:00,38318.019357391444
CISO,2026-09-08 20:00:00,37960.93687077748
CISO,2026-09-08 21:00:00,37068.76517252982
CISO,2026-09-08 22:00:00,38161.455350679746
CISO,2026-09-08 23:00:00,39775.7454862635
CISO,2026-09-09 00:00:00,40795.059689839894
CISO,2026-09-09 01:00:00,43055.863343287034
CISO,2026-09-09 02:00:00,44462.44689764922
CISO,2026-09-09 03:00:00,44048.53190290331
CISO,2026-09-09 04:00:00,42935.795937529125
CISO,2026-09-09 05:00:00,41136.31264576128
CISO,2026-09-09 06:00:00,38815.96732984931
CISO,2026-09-09 07:00:00,36336.14880425493
CISO,2026-09-09 08:00:00,34575.23905238749
CISO,2026-09-09 09:00:00,33066.51252899096
CISO,2026-09-09 10:00:00,31896.351312729756
CISO,2026-09-09 11:00:00,31371.695722309407
CISO,2026-09-09 12:00:00,31645.151398844057
CISO,2026-09-09 13:00:00,31632.0229025261
CISO,2026-09-09 14:00:00,32334.27365209293
CISO,2026-09-09 15:00:00,34848.39193136337
CISO,2026-09-09 16:00:00,38816.73091098212
CISO,2026-09-09 17:00:00,40772.297582038416
CISO,2026-09-09 18:00:00,41079.474912489444
CISO,2026-09-09 19:00:00,40898.887332932965
CISO,2026-09-09 20:00:00,40422.13638176244
CISO,2026-09-09 21:00:00,41139.3679570612
CISO,2026-09-09 22:00:00,41412.66377965742
CISO,2026-09-09 23:00:00,42821.885827807855
CISO,2026-09-10 00:00:00,42077.01903764924
CISO,2026-09-10 01:00:00,43877.28641048433
CISO,2026-09-10 02:00:00,44749.14316589452
CISO,2026-09-10 03:00:00,44169.91468677165
CISO,2026-09-10 04:00:00,43173.281479553436
CISO,2026-09-10 05:00:00,40326.276243242755
CISO,2026-09-10 06:00:00,37741.12138053813
CISO,2026-09-10 07:00:00,35376.422729383834
CISO,2026-09-10 08:00:00,33787.52577742512
CISO,2026-09-10 09:00:00,32787.23126220261
CISO,2026-09-10 10:00:00,31938.365588540393
CISO,2026-09-10 11:00:00,31565.85383226027
CISO,2026-09-10 12:00:00,30724.927896828507
CISO,2026-09-10 13:00:00,30471.150492262193
CISO,2026-09-10 14:00:00,31683.716147237672
CISO,2026-09-10 15:00:00,34686.558234878765
CISO,2026-09-10 16:00:00,38121.94632043167
CISO,2026-09-10 17:00:00,39392.3405204515
CISO,2026-09-10 18:00:00,39672.34992283513
CISO,2026-09-10 19:00:00,39349.74201038727
CISO,2026-09-10 20:00:00,39414.87559914144
CISO,2026-09-10 21:00:00,39536.613554454
CISO,2026-09-10 22:00:00,39535.70868455411
CISO,2026-09-10 23:00:00,40289.39020990387
CISO,2026-09-11 00:00:00,41650.14740402585
CISO,2026-09-11 01:00:00,41947.54519224858
CISO,2026-09-11 02:00:00,42563.70343123073
CISO,2026-09-11 03:00:00,42171.40830109688
CISO,2026-09-11 04:00:00,41708.11327113935
CISO,2026-09-11 05:00:00,40074.00307568048
CISO,2026-09-11 06:00:00,37624.99902537685
CISO,2026-09-11 07:00:00,35338.56285520436
CISO,2026-09-11 08:00:00,33652.51832687015
CISO,2026-09-11 09:00:00,32177.172893151994
CISO,2026-09-11 10:00:00,31007.95718640288
CISO,2026-09-11 11:00:00,30397.368972616005
CISO,2026-09-11 12:00:00,30065.562055592076
CISO,2026-09-11 13:00:00,30121.978866636313
CISO,2026-09-11 14:00:00,31004.753415012234
CISO,2026-09-11 15:00:00,34043.44845269887
CISO,2026-09-11 16:00:00,37305.91980315898
CISO,2026-09-11 17:00:00,38904.293941124255
CISO,2026-09-11 18:00:00,38996.11494138464
CISO,2026-09-11 19:00:00,39155.11249509701
CISO,2026-09-11 20:00:00,39108.719175771854
CISO,2026-09-11 21:00:00,39048.73703781299
CISO,2026-09-11 22:00:00,39827.1342746512
CISO,2026-09-11 23:00:00,40744.102540737964
CISO,2026-09-12 00:00:00,41132.16614997139
CISO,2026-09-12 01:00:00,42482.91567923421
CISO,2026-09-12 02:00:00,42064.178802320836
CISO,2026-09-12 03:00:00,41504.88666242156
CISO,2026-09-12 04:00:00,40531.815227702675
CISO,2026-09-12 05:00:00,38957.998529017175
CISO,2026-09-12 06:00:00,37075.71678879351
CISO,2026-09-12 07:00:00,34785.003511981675
CISO,2026-09-12 08:00:00,33032.24638135251
CISO,2026-09-12 09:00:00,31915.841336899302
CISO,2026-09-12 10:00:00,30602.400060767224
CISO,2026-09-12 11:00:00,29835.042853353036
CISO,2026-09-12 12:00:00,29578.9118778649
CISO,2026-09-12 13:00:00,29664.590776513658
CISO,2026-09-12 14:00:00,30666.6680237466
CISO,2026-09-12 15:00:00,32559.81487277702
CISO,2026-09-12 16:00:00,35116.57223906173
CISO,2026-09-12 17:00:00,36962.46101599191
CISO,2026-09-12 18:00:00,37207.31879855557
CISO,2026-09-12 19:00:00,37302.26064457449
CISO,2026-09-12 20:00:00,36554.730539637356
CISO,2026-09-12 21:00:00,36867.84976562165
CISO,2026-09-12 22:00:00,37884.03792443558
CISO,2026-09-12 23:00:00,38376.20995441561
CISO,2026-09-13 00:00:00,37868.77562526325
CISO,2026-09-13 01:00:00,38508.76925032635
CISO,2026-09-13 02:00:00,38168.177730650365
CISO,2026-09-13 03:00:00,37637.011206829964
CISO,2026-09-13 04:00:00,37209.498930563524
CISO,2026-09-13 05:00:00,36073.383461621255
CISO,2026-09-13 06:00:00,34233.776070401786
CISO,2026-09-13 07:00:00,32359.35050966527
CISO,2026-09-13 08:00:00,30754.610910083637
CISO,2026-09-13 09:00:00,29442.584006588873
CISO,2026-09-13 10:00:00,28608.897568897533
CISO,2026-09-13 11:00:00,28184.086260141055
CISO,2026-09-13 12:00:00,28218.512555106357
CISO,2026-09-13 13:00:00,27926.147004313323
CISO,2026-09-13 14:00:00,28622.01465783729
CISO,2026-09-13 15:00:00,30652.402594921663
CISO,2026-09-13 16:00:00,33566.82411720976
CISO,2026-09-13 17:00:00,35611.517099742516
CISO,2026-09-13 18:00:00,35780.68264296513
CISO,2026-09-13 19:00:00,35937.40198011835
CISO,2026-09-13 20:00:00,36202.83404155055
CISO,2026-09-13 21:00:00,36062.625570458316
CISO,2026-09-13 22:00:00,35672.76662679156
CISO,2026-09-13 23:00:00,35177.0028489789
CISO,2026-09-14 00:00:00,35055.86951075443
ERCO,2026-09-07 01:00:00,80434.52355650123
ERCO,2026-09-07 02:00:00,77539.59255106634
ERCO,2026-09-07 03:00:00,74680.75802461793
ERCO,2026-09-07 04:00:00,70944.94869454342
ERCO,2026-09-07 05:00:00,67111.01173302485
ERCO,2026-09-07 06:00:00,63176.83823146885
ERCO,2026-09-07 07:00:00,60160.09368488242
ERCO,2026-09-07 08:00:00,57863.09894096532
ERCO,2026-09-07 09:00:00,56370.83142642703
ERCO,2026-09-07 10:00:00,55516.173347818156
ERCO,2026-09-07 11:00:00,55645.4875920462
ERCO,2026-09-07 12:00:00,57381.667730265835
ERCO,2026-09-07 13:00:00,59610.15342542668
ERCO,2026-09-07 14:00:00,64237.68785613049
ERCO,2026-09-07 15:00:00,69840.93538026305
ERCO,2026-09-07 16:00:00,74542.1890850808
ERCO,2026-09-07 17:00:00,78028.84665152253
ERCO,2026-09-07 18:00:00,80397.10532919923
ERCO,2026-09-07 19:00:00,82657.8625113951
ERCO,2026-09-07 20:00:00,84132.44771205919
ERCO,2026-09-07 21:00:00,84418.53438228986
ERCO,2026-09-07 22:00:00,85032.972387424
ERCO,2026-09-07 23:00:00,84638.12190621733
ERCO,2026-09-08 00:00:00,84394.26257896249
ERCO,2026-09-08 01:00:00,84556.65525544301
ERCO,2026-09-08 02:00:00,82847.144145333
ERCO,2026-09-08 03:00:00,80267.24015133195
ERCO,2026-09-08 04:00:00,76616.08489968278
ERCO,2026-09-08 05:00:00,72875.99696421744
ERCO,2026-09-08 06:00:00,69501.26636064712
ERCO,2026-09-08 07:00:00,67221.19175768908
ERCO,2026-09-08 08:00:00,65393.171876366934
ERCO,2026-09-08 09:00:00,64285.50593107228
ERCO,2026-09-08 10:00:00,63634.422146905315
ERCO,2026-09-08 11:00:00,63565.06339696888
ERCO,2026-09-08 12:00:00,64803.47411742879
ERCO,2026-09-08 13:00:00,65794.27369183174
ERCO,2026-09-08 14:00:00,67759.96801592407
ERCO,2026-09-08 15:00:00,71073.67756967427
ERCO,2026-09-08 16:00:00,74759.2831433654
ERCO,2026-09-08 17:00:00,78468.1688338096
ERCO,2026-09-08 18:00:00,81748.14427888153
ERCO,2026-09-08 19:00:00,84674.81327997395
ERCO,2026-09-08 20:00:00,87028.26002666136
ERCO,2026-09-08 21:00:00,85997.17934730079
ERCO,2026-09-08 22:00:00,85990.80409021536
ERCO,2026-09-08 23:00:00,85884.10525465486
ERCO,2026-09-09 00:00:00,87941.47466727876
ERCO,2026-09-09 01:00:00,83353.60878492583
ERCO,2026-09-09 02:00:00,82069.45266918227
ERCO,2026-09-09 03:00:00,80805.69015133502
ERCO,2026-09-09 04:00:00,77265.94965430943
ERCO,2026-09-09 05:00:00,72991.18254660541
ERCO,2026-09-09 06:00:00,70422.7026869911
ERCO,2026-09-09 07:00:00,67635.88391723766
ERCO,2026-09-09 08:00:00,64531.99348043704
ERCO,2026-09-09 09:00:00,63073.84050509091
ERCO,2026-09-09 10:00:00,62643.951140477766
ERCO,2026-09-09 11:00:00,62933.84055059486
ERCO,2026-09-09 12:00:00,63481.38965371594
ERCO,2026-09-09 13:00:00,64323.044210183434
ERCO,2026-09-09 14:00:00,66997.0890510068
ERCO,2026-09-09 15:00:00,70939.24216673712
ERCO,2026-09-09 16:00:00,74715.88527840257
ERCO,2026-09-09 17:00:00,78540.66538395084
ERCO,2026-09-09 18:00:00,81792.18210227884
ERCO,2026-09-09 19:00:00,84770.93108244381
ERCO,2026-09-09 20:00:00,86649.34521942589
ERCO,2026-09-09 21:00:00,87909.29216949163
ERCO,2026-09-09 22:00:00,88219.62075071866
ERCO,2026-09-09 23:00:00,88266.4241670193
ERCO,2026-09-10 00:00:00,83127.59992340204
ERCO,2026-09-10 01:00:00,83359.48057957037
ERCO,2026-09-10 02:00:00,81405.39599190376
ERCO,2026-09-10 03:00:00,79444.92774180177
ERCO,2026-09-10 04:00:00,75927.74634095666
ERCO,2026-09-10 05:00:00,71693.1898385254
ERCO,2026-09-10 06:00:00,69306.5046622217
ERCO,2026-09-10 07:00:00,66381.66485300912
ERCO,2026-09-10 08:00:00,64257.303607856724
ERCO,2026-09-10 09:00:00,62663.34764046775
ERCO,2026-09-10 10:00:00,62433.16642212102
ERCO,2026-09-10 11:00:00,62825.415060513726
ERCO,2026-09-10 12:00:00,64214.68432331184
ERCO,2026-09-10 13:00:00,65278.32862054663
ERCO,2026-09-10 14:00:00,67747.95925728822
ERCO,2026-09-10 15:00:00,71089.11104842694
ERCO,2026-09-10 16:00:00,74579.95405994623
ERCO,2026-09-10 17:00:00,78158.18642959243
ERCO,2026-09-10 18:00:00,82391.11683465308
ERCO,2026-09-10 19:00:00,85863.24864952572
ERCO,2026-09-10 20:00:00,88131.71372717121
ERCO,2026-09-10 21:00:00,88724.83554321903
ERCO,2026-09-10 22:00:00,88900.80678946216
ERCO,2026-09-10 23:00:00,88907.4937481643
ERCO,2026-09-11 00:00:00,78781.62131902407
ERCO,2026-09-11 01:00:00,80678.37705179161
ERCO,2026-09-11 02:00:00,76960.92944402274
ERCO,2026-09-11 03:00:00,73310.72851771094
ERCO,2026-09-11 04:00:00,69832.61069828889
ERCO,2026-09-11 05:00:00,66874.33729500827
ERCO,2026-09-11 06:00:00,59241.399752561796
ERCO,2026-09-11 07:00:00,57146.88446567365
ERCO,2026-09-11 08:00:00,55441.25799190473
ERCO,2026-09-11 09:00:00,54418.11942414726
ERCO,2026-09-11 10:00:00,53968.17499165055
ERCO,2026-09-11 11:00:00,54417.03399938837
ERCO,2026-09-11 12:00:00,63039.29645520405
ERCO,2026-09-11 13:00:00,64866.226695669335
ERCO,2026-09-11 14:00:00,67438.25557219022
ERCO,2026-09-11 15:00:00,70628.4859501478
ERCO,2026-09-11 16:00:00,74278.07239171016
ERCO,2026-09-11 17:00:00,77781.89260526444
ERCO,2026-09-11 18:00:00,82823.52407349029
ERCO,2026-09-11 19:00:00,85669.69912392426
ERCO,2026-09-11 20:00:00,87868.20043978911
ERCO,2026-09-11 21:00:00,89238.27415372749
ERCO,2026-09-11 22:00:00,89460.97810127237
ERCO,2026-09-11 23:00:00,88486.96386152253
ERCO,2026-09-12 00:00:00,87206.93256306066
ERCO,2026-09-12 01:00:00,73809.3481397959
ERCO,2026-09-12 02:00:00,70448.12982597512
ERCO,2026-09-12 03:00:00,67344.55781675271
ERCO,2026-09-12 04:00:00,64311.13424943481
ERCO,2026-09-12 05:00:00,62100.49993799155
ERCO,2026-09-12 06:00:00,58987.29968824737
ERCO,2026-09-12 07:00:00,57044.11892068517
ERCO,2026-09-12 08:00:00,55771.76153828082
ERCO,2026-09-12 09:00:00,55065.633723085615
ERCO,2026-09-12 10:00:00,54232.567012647996
ERCO,2026-09-12 11:00:00,53953.813923500435
ERCO,2026-09-12 12:00:00,62175.87201407
ERCO,2026-09-12 13:00:00,62712.320676775744
ERCO,2026-09-12 14:00:00,64507.71392791213
ERCO,2026-09-12 15:00:00,67524.73607363012
ERCO,2026-09-12 16:00:00,71339.22025105843
ERCO,2026-09-12 17:00:00,76372.355213259
ERCO,2026-09-12 18:00:00,81664.82934978997
ERCO,2026-09-12 19:00:00,84711.45345890828
ERCO,2026-09-12 20:00:00,87222.45564646213
ERCO,2026-09-12 21:00:00,88369.44117730026
ERCO,2026-09-12 22:00:00,88561.63067137613
ERCO,2026-09-12 23:00:00,88071.87991631898
ERCO,2026-09-13 00:00:00,86377.0669321212
ERCO,2026-09-13 01:00:00,80366.479465942
ERCO,2026-09-13 02:00:00,77521.40906817521
ERCO,2026-09-13 03:00:00,74597.07587816147
ERCO,2026-09-13 04:00:00,70973.12976137243
ERCO,2026-09-13 05:00:00,67519.75640267687
ERCO,2026-09-13 06:00:00,63435.30190593448
ERCO,2026-09-13 07:00:00,60759.75695212252
ERCO,2026-09-13 08:00:00,58575.8562404586
ERCO,2026-09-13 09:00:00,57039.16220161026
ERCO,2026-09-13 10:00:00,56164.48068847611
ERCO,2026-09-13 11:00:00,56047.56812803319
ERCO,2026-09-13 12:00:00,59114.476428038965
ERCO,2026-09-13 13:00:00,60133.657529494085
ERCO,2026-09-13 14:00:00,62562.42557788982
ERCO,2026-09-13 15:00:00,66317.55506149231
ERCO,2026-09-13 16:00:00,70385.95344579844
ERCO,2026-09-13 17:00:00,75101.99587858077
ERCO,2026-09-13 18:00:00,78613.57867067511
ERCO,2026-09-13 19:00:00,82001.02081060989
ERCO,2026-09-13 20:00:00,84831.03233389455
ERCO,2026-09-13 21:00:00,86323.19777889526
ERCO,2026-09-13 22:00:00,86893.74704315624
ERCO,2026-09-13 23:00:00,86854.40410031541
ERCO,2026-09-14 00:00:00,85696.30994745846
MISO,2026-09-07 01:00:00,88550.9925011975
MISO,2026-09-07 02:00:00,85237.523286771
MISO,2026-09-07 03:00:00,80966.05144945403
MISO,2026-09-07 04:00:00,75847.26512449112
MISO,2026-09-07 05:00:00,71298.68883011636
MISO,2026-09-07 06:00:00,65987.99898925133
MISO,2026-09-07 07:00:00,64028.83306568384
MISO,2026-09-07 08:00:00,63159.60028026065
MISO,2026-09-07 09:00:00,62787.73086619706
MISO,2026-09-07 10:00:00,63329.365692648775
MISO,2026-09-07 11:00:00,64942.685138881694
MISO,2026-09-07 12:00:00,66798.15025829384
MISO,2026-09-07 13:00:00,68623.09828502242
MISO,2026-09-07 14:00:00,76395.45546674641
MISO,2026-09-07 15:00:00,82179.65683083601
MISO,2026-09-07 16:00:00,87059.63803497338
MISO,2026-09-07 17:00:00,90527.39635861755
MISO,2026-09-07 18:00:00,93241.1397508517
MISO,2026-09-07 19:00:00,95661.04874788411
MISO,2026-09-07 20:00:00,96993.16898641484
MISO,2026-09-07 21:00:00,97638.12692135983
MISO,2026-09-07 22:00:00,97681.69051083596
MISO,2026-09-07 23:00:00,97524.10779909513
MISO,2026-09-08 00:00:00,95110.88023007732
MISO,2026-09-08 01:00:00,89147.02469729414
MISO,2026-09-08 02:00:00,86729.67745460616
MISO,2026-09-08 03:00:00,82933.55391196723
MISO,2026-09-08 04:00:00,78202.32845415204
MISO,2026-09-08 05:00:00,73825.48318613539
MISO,2026-09-08 06:00:00,70383.61410749952
MISO,2026-09-08 07:00:00,67847.68925110165
MISO,2026-09-08 08:00:00,66348.96724023504
MISO,2026-09-08 09:00:00,64584.81760362581
MISO,2026-09-08 10:00:00,63579.53602242241
MISO,2026-09-08 11:00:00,64003.6570128198
MISO,2026-09-08 12:00:00,67305.90630791886
MISO,2026-09-08 13:00:00,74042.0760650056
MISO,2026-09-08 14:00:00,80438.77121785804
MISO,2026-09-08 15:00:00,86033.9276091582
MISO,2026-09-08 16:00:00,90766.86099333302
MISO,2026-09-08 17:00:00,95323.63401510354
MISO,2026-09-08 18:00:00,98679.38038496456
MISO,2026-09-08 19:00:00,102154.2102402019
MISO,2026-09-08 20:00:00,104519.40454890725
MISO,2026-09-08 21:00:00,105874.97047511252
MISO,2026-09-08 22:00:00,106830.24071741597
MISO,2026-09-08 23:00:00,104848.68519534804
MISO,2026-09-09 00:00:00,99987.17709189157
MISO,2026-09-09 01:00:00,97988.85181896086
MISO,2026-09-09 02:00:00,96108.526253852
MISO,2026-09-09 03:00:00,91603.29636026203
MISO,2026-09-09 04:00:00,87058.00004210313
MISO,2026-09-09 05:00:00,84301.26785060357
MISO,2026-09-09 06:00:00,79645.48369310581
MISO,2026-09-09 07:00:00,77196.72957842283
MISO,2026-09-09 08:00:00,75616.82878695148
MISO,2026-09-09 09:00:00,74549.71844482419
MISO,2026-09-09 10:00:00,75302.25674475217
MISO,2026-09-09 11:00:00,77519.62548578158
MISO,2026-09-09 12:00:00,79351.8815369427
MISO,2026-09-09 13:00:00,85015.29745156175
MISO,2026-09-09 14:00:00,89718.21449855805
MISO,2026-09-09 15:00:00,93112.743203019
MISO,2026-09-09 16:00:00,98688.052595271
MISO,2026-09-09 17:00:00,103063.98397558299
MISO,2026-09-09 18:00:00,107857.55382712778
MISO,2026-09-09 19:00:00,110328.32945070346
MISO,2026-09-09 20:00:00,113145.41155790059
MISO,2026-09-09 21:00:00,112811.8746060589
MISO,2026-09-09 22:00:00,109751.00497556284
MISO,2026-09-09 23:00:00,109391.92476953252
MISO,2026-09-10 00:00:00,98035.99232352583
MISO,2026-09-10 01:00:00,94097.59980055726
MISO,2026-09-10 02:00:00,94145.83079238329
MISO,2026-09-10 03:00:00,91609.83422962742
MISO,2026-09-10 04:00:00,86859.87541230858
MISO,2026-09-10 05:00:00,80979.67356682077
MISO,2026-09-10 06:00:00,75942.39602408062
MISO,2026-09-10 07:00:00,74754.78414216383
MISO,2026-09-10 08:00:00,72726.6999757911
MISO,2026-09-10 09:00:00,71639.17870743324
MISO,2026-09-10 10:00:00,71484.43120560757
MISO,2026-09-10 11:00:00,72941.27600615108
MISO,2026-09-10 12:00:00,74230.0580032533
MISO,2026-09-10 13:00:00,77178.03373367355
MISO,2026-09-10 14:00:00,78911.36450519433
MISO,2026-09-10 15:00:00,80163.46411371956
MISO,2026-09-10 16:00:00,84180.46863148644
MISO,2026-09-10 17:00:00,90828.94828296063
MISO,2026-09-10 18:00:00,92090.10950901403
MISO,2026-09-10 19:00:00,93420.9421033033
MISO,2026-09-10 20:00:00,94253.23911373827
MISO,2026-09-10 21:00:00,94432.1355086641
MISO,2026-09-10 22:00:00,93577.15117478147
MISO,2026-09-10 23:00:00,91880.2681019364
MISO,2026-09-11 00:00:00,91458.34715081137
MISO,2026-09-11 01:00:00,88398.18551985934
MISO,2026-09-11 02:00:00,86727.13968521959
MISO,2026-09-11 03:00:00,82670.65340319087
MISO,2026-09-11 04:00:00,77193.4187469881
MISO,2026-09-11 05:00:00,72152.15314353164
MISO,2026-09-11 06:00:00,69412.84978427866
MISO,2026-09-11 07:00:00,66300.14157867499
MISO,2026-09-11 08:00:00,64954.75642769716
MISO,2026-09-11 09:00:00,64252.021415762254
MISO,2026-09-11 10:00:00,64586.8030092072
MISO,2026-09-11 11:00:00,66581.90304794615
MISO,2026-09-11 12:00:00,70431.90321913679
MISO,2026-09-11 13:00:00,71765.99712502272
MISO,2026-09-11 14:00:00,73551.82554393008
MISO,2026-09-11 15:00:00,79505.3875485265
MISO,2026-09-11 16:00:00,84723.3868123194
MISO,2026-09-11 17:00:00,89581.2283931945
MISO,2026-09-11 18:00:00,92492.12791896277
MISO,2026-09-11 19:00:00,95515.24900483986
MISO,2026-09-11 20:00:00,97602.69331916772
MISO,2026-09-11 21:00:00,98695.12329603665
MISO,2026-09-11 22:00:00,97169.65547823225
MISO,2026-09-11 23:00:00,94346.09648641056
MISO,2026-09-12 00:00:00,96780.10221885846
MISO,2026-09-12 01:00:00,92640.06950756606
MISO,2026-09-12 02:00:00,90048.48176380133
MISO,2026-09-12 03:00:00,85874.29040507172
MISO,2026-09-12 04:00:00,80588.19643579013
MISO,2026-09-12 05:00:00,76242.66711639163
MISO,2026-09-12 06:00:00,69673.31800655754
MISO,2026-09-12 07:00:00,66932.63970725928
MISO,2026-09-12 08:00:00,65108.57473597099
MISO,2026-09-12 09:00:00,63921.064832522796
MISO,2026-09-12 10:00:00,63188.41704506606
MISO,2026-09-12 11:00:00,63685.646649534785
MISO,2026-09-12 12:00:00,66523.06512015358
MISO,2026-09-12 13:00:00,67093.13773313121
MISO,2026-09-12 14:00:00,70073.27431518125
MISO,2026-09-12 15:00:00,76290.58327098249
MISO,2026-09-12 16:00:00,82245.99565226167
MISO,2026-09-12 17:00:00,87809.15248507856
MISO,2026-09-12 18:00:00,95852.11604918308
MISO,2026-09-12 19:00:00,99010.33636418477
MISO,2026-09-12 20:00:00,101079.35006577469
MISO,2026-09-12 21:00:00,101856.83834234196
MISO,2026-09-12 22:00:00,100618.33100949627
MISO,2026-09-12 23:00:00,96784.2850232204
MISO,2026-09-13 00:00:00,102033.23821713869
MISO,2026-09-13 01:00:00,97171.20678085827
MISO,2026-09-13 02:00:00,94460.81480688656
MISO,2026-09-13 03:00:00,90679.99253927378
MISO,2026-09-13 04:00:00,85894.12733968365
MISO,2026-09-13 05:00:00,81524.78923480105
MISO,2026-09-13 06:00:00,72903.03891315582
MISO,2026-09-13 07:00:00,70135.75664769618
MISO,2026-09-13 08:00:00,67762.34154890463
MISO,2026-09-13 09:00:00,66489.48305279834
MISO,2026-09-13 10:00:00,65968.61316983611
MISO,2026-09-13 11:00:00,66582.42259043435
MISO,2026-09-13 12:00:00,64076.52242908508
MISO,2026-09-13 13:00:00,69847.97712771173
MISO,2026-09-13 14:00:00,77618.77774081445
MISO,2026-09-13 15:00:00,85013.1341100389
