vung,ds,du_bao
CISO,2026-09-28 01:00:00,31964.40826463356
CISO,2026-09-28 02:00:00,31577.41098223706
CISO,2026-09-28 03:00:00,31752.170923907026
CISO,2026-09-28 04:00:00,31543.940533040623
CISO,2026-09-28 05:00:00,30810.59777015833
CISO,2026-09-28 06:00:00,30317.44407109992
CISO,2026-09-28 07:00:00,30114.31172178515
CISO,2026-09-28 08:00:00,30820.040492583368
CISO,2026-09-28 09:00:00,33201.189525237845
CISO,2026-09-28 10:00:00,34022.360634609795
CISO,2026-09-28 11:00:00,34079.4418748085
CISO,2026-09-28 12:00:00,33497.19247500253
CISO,2026-09-28 13:00:00,33441.76719229719
CISO,2026-09-28 14:00:00,33618.64329095042
CISO,2026-09-28 15:00:00,34421.315579400994
CISO,2026-09-28 16:00:00,35490.16923246908
CISO,2026-09-28 17:00:00,36121.07169640235
CISO,2026-09-28 18:00:00,35704.56011244937
CISO,2026-09-28 19:00:00,36190.93453316175
CISO,2026-09-28 20:00:00,36316.02706432997
CISO,2026-09-28 21:00:00,36098.034579738815
CISO,2026-09-28 22:00:00,35234.8534399235
CISO,2026-09-28 23:00:00,33641.338746286536
CISO,2026-09-29 00:00:00,33368.75625605462
CISO,2026-09-29 01:00:00,33338.50405532343
CISO,2026-09-29 02:00:00,33101.61016938709
CISO,2026-09-29 03:00:00,32610.950543380335
CISO,2026-09-29 04:00:00,32030.286322139218
CISO,2026-09-29 05:00:00,31586.52744601672
CISO,2026-09-29 06:00:00,30904.223994275435
CISO,2026-09-29 07:00:00,30863.066392177156
CISO,2026-09-29 08:00:00,31486.92633911888
CISO,2026-09-29 09:00:00,33869.589785306875
CISO,2026-09-29 10:00:00,34164.47441735641
CISO,2026-09-29 11:00:00,34119.40457694561
CISO,2026-09-29 12:00:00,33871.516703968286
CISO,2026-09-29 13:00:00,34085.276989810765
CISO,2026-09-29 14:00:00,34532.39762422726
CISO,2026-09-29 15:00:00,35807.78569842933
CISO,2026-09-29 16:00:00,37732.36645533652
CISO,2026-09-29 17:00:00,39249.8667782711
CISO,2026-09-29 18:00:00,38266.506417660974
CISO,2026-09-29 19:00:00,38495.55900838121
CISO,2026-09-29 20:00:00,38645.74827259105
CISO,2026-09-29 21:00:00,38501.52026999336
CISO,2026-09-29 22:00:00,38199.066780575115
CISO,2026-09-29 23:00:00,37378.898459753094
CISO,2026-09-30 00:00:00,38886.46121951109
CISO,2026-09-30 01:00:00,39340.90543110296
CISO,2026-09-30 02:00:00,38528.323805707056
CISO,2026-09-30 03:00:00,37700.899516159894
CISO,2026-09-30 04:00:00,36731.39615890393
CISO,2026-09-30 05:00:00,35161.622575865185
CISO,2026-09-30 06:00:00,33911.953861594506
CISO,2026-09-30 07:00:00,32921.78906450074
CISO,2026-09-30 08:00:00,33393.18128973361
CISO,2026-09-30 09:00:00,35214.46971320241
CISO,2026-09-30 10:00:00,35100.18017586213
CISO,2026-09-30 11:00:00,34908.361508962174
CISO,2026-09-30 12:00:00,34209.98430833726
CISO,2026-09-30 13:00:00,34406.37354603673
CISO,2026-09-30 14:00:00,35047.8218411258
CISO,2026-09-30 15:00:00,36142.95098403784
CISO,2026-09-30 16:00:00,38131.99248803232
CISO,2026-09-30 17:00:00,39676.483793836764
CISO,2026-09-30 18:00:00,38573.45819523593
CISO,2026-09-30 19:00:00,39108.51291082095
CISO,2026-09-30 20:00:00,39132.43740358256
CISO,2026-09-30 21:00:00,39013.51580981711
CISO,2026-09-30 22:00:00,37961.67188503698
CISO,2026-09-30 23:00:00,36358.55838101203
CISO,2026-10-01 00:00:00,38009.59936183052
CISO,2026-10-01 01:00:00,37330.00491392182
CISO,2026-10-01 02:00:00,36645.46772552334
CISO,2026-10-01 03:00:00,35822.39021423586
CISO,2026-10-01 04:00:00,35035.77747529163
CISO,2026-10-01 05:00:00,33965.31041543446
CISO,2026-10-01 06:00:00,32686.38717891328
CISO,2026-10-01 07:00:00,31487.088721013693
CISO,2026-10-01 08:00:00,30906.1065301681
CISO,2026-10-01 09:00:00,32599.469448709377
CISO,2026-10-01 10:00:00,32757.477581909417
CISO,2026-10-01 11:00:00,32469.212974120874
CISO,2026-10-01 12:00:00,31799.545179723136
CISO,2026-10-01 13:00:00,31929.808086191926
CISO,2026-10-01 14:00:00,32595.48159387944
CISO,2026-10-01 15:00:00,33215.76933920334
